id,Date ,customer_name,email,product name,Location _ CITY , Total Buying  , Sttore_ Revenue  , store_ profit  ,Medium_ Buying ,payment MOde 
1,8/30/2024,Taddeusz,tsaines0@time.com,Fresh Fruits,Ahemdabad," ? 7,653.00 "," ? 915,593.00 "," ? 47,011.00 ",Offline,paytm
2,4/5/2024,Roobbie,rdavidovitz1@state.tx.us,Biscuits,Amravati," ? 8,217.00 "," ? 510,635.00 "," ? 80,398.00 ",Online,G-pay
3,10/28/2024,Emelita,ehiddy2@yale.edu,Pasta & Vermicelli,Hyderabad," ? 7,439.00 "," ? 959,291.00 "," ? 11,415.00 ",Online,COD
4,4/1/2024,Llewellyn,ltruitt3@gmpg.org,Drinks & Juices,Delhi," ? 9,601.00 "," ? 538,751.00 "," ? 63,745.00 ",Offline,G-pay
5,10/6/2024,Yves,ygouldie4@simplemachines.org,Herbs & Others Premium Fruits & Vegetables,Mumbai," ? 8,693.00 "," ? 616,335.00 "," ? 95,045.00 ",Online,paytm
6,9/1/2024,Natassia,npurrington5@macromedia.com,Chocolates & Candies,," ? 8,410.00 "," ? 410,697.00 "," ? 85,702.00 ",Offline,Card
7,2/27/2024,Alix,aphilpin6@is.gd,Noodles,Amravati," ? 5,113.00 "," ? 964,564.00 "," ? 59,523.00 ",Offline,G-pay
8,7/15/2024,Jamie,jtesauro7@yelp.com,Fresh Fruits,Surat," ? 7,091.00 "," ? 684,938.00 "," ? 45,845.00 ",Online,Card
9,3/24/2024,Anthony,aguice8@example.com,Drinks & Juices,Amravati," ? 6,588.00 "," ? 780,677.00 "," ? 83,656.00 ",Offline,Card
10,7/25/2024,Ivar,iducarme9@columbia.edu,Biscuits,Delhi," ? 7,957.00 "," ? 235,255.00 "," ? 50,127.00 ",Offline,paytm
11,11/25/2024,Lorrayne,ldrinkhilla@cam.ac.uk,Fresh Fruits,Hyderabad," ? 7,200.00 "," ? 638,482.00 "," ? 34,811.00 ",Offline,Card
12,6/9/2024,Zuzana,zlaimableb@csmonitor.com,Chips & Namkeens,Surat," ? 8,834.00 "," ? 811,714.00 "," ? 48,528.00 ",Online,paytm
13,4/18/2024,Lorin,lsoallc@apache.org,Milk & Milk Products Cheese,Ahemdabad," ? 8,767.00 "," ? 431,003.00 "," ? 18,300.00 ",Online,G-pay
14,1/24/2024,Renault,rasquithd@netvibes.com,Pasta & Vermicelli,," ? 5,013.00 "," ? 255,625.00 "," ? 65,319.00 ",Offline,paytm
15,4/29/2024,Ward,wautene@cnn.com,Herbs & Others Premium Fruits & Vegetables,Rajkot," ? 7,353.00 "," ? 621,072.00 "," ? 53,906.00 ",Online,paytm
16,11/12/2024,Krystal,ktomaszewskif@furl.net,Pasta & Vermicelli,Amravati," ? 5,211.00 "," ? 935,419.00 "," ? 61,255.00 ",Offline,Card
17,7/31/2024,Jacques,jjakubovicsg@msu.edu,Paneer & Tofu Batter & Chutney,jaipur," ? 7,309.00 "," ? 125,983.00 "," ? 60,170.00 ",Online,paytm
18,12/23/2023,Raff,rardronh@edublogs.org,Basic Vegetables Roots,Banglore," ? 9,542.00 "," ? 348,003.00 "," ? 88,959.00 ",Offline,G-pay
19,12/24/2023,Glynnis,ggeroldinii@issuu.com,Herbs & Others Premium Fruits & Vegetables,Ahemdabad," ? 5,660.00 "," ? 436,351.00 "," ? 27,339.00 ",Online,paytm
20,10/1/2024,Jessamine,jbartlomieczakj@dell.com,Paneer & Tofu Batter & Chutney,Banglore," ? 9,802.00 "," ? 256,751.00 "," ? 43,773.00 ",Offline,G-pay
21,7/4/2024,Noble,nclausnerk@mail.ru,Chips & Namkeens,Rajkot," ? 5,477.00 "," ? 880,434.00 "," ? 62,552.00 ",Online,Card
22,1/6/2024,Clarence,cbarriel@wikipedia.org,Biscuits,Banglore," ? 5,847.00 "," ? 214,307.00 "," ? 14,872.00 ",Offline,COD
23,10/15/2024,Madlen,mwileym@1688.com,Paneer & Tofu Batter & Chutney,Hyderabad," ? 8,466.00 "," ? 894,489.00 "," ? 89,086.00 ",Online,COD
24,2/10/2024,Mathias,mgrangiern@latimes.com,Fresh Fruits,," ? 8,012.00 "," ? 543,992.00 "," ? 13,153.00 ",Offline,G-pay
25,9/23/2024,Jacquette,jmaccrossono@stanford.edu,Biscuits,Pune," ? 8,774.00 "," ? 824,289.00 "," ? 31,856.00 ",Offline,paytm
26,12/8/2023,Darrick,dalderp@answers.com,Biscuits,Pune," ? 6,896.00 "," ? 329,320.00 "," ? 74,714.00 ",Offline,COD
27,4/25/2024,Audie,apaceyq@plala.or.jp,Paneer & Tofu Batter & Chutney,Surat," ? 7,271.00 "," ? 782,608.00 "," ? 89,389.00 ",Offline,paytm
28,12/14/2023,Sascha,scheckettsr@constantcontact.com,Herbs & Others Premium Fruits & Vegetables,Rajkot," ? 7,502.00 "," ? 215,813.00 "," ? 88,334.00 ",Offline,G-pay
29,3/14/2024,Rourke,rdemangeots@mediafire.com,Paneer & Tofu Batter & Chutney,Ahemdabad," ? 8,060.00 "," ? 160,387.00 "," ? 59,819.00 ",Offline,paytm
30,7/1/2024,Don,dduiguidt@surveymonkey.com,Basic Vegetables Roots,Kolkata," ? 7,365.00 "," ? 622,473.00 "," ? 40,222.00 ",Offline,Card
31,11/21/2024,Lester,lashenhurstu@unesco.org,Drinks & Juices,Ahemdabad," ? 8,183.00 "," ? 979,960.00 "," ? 71,600.00 ",Online,Card
32,2/4/2024,Shellie,slyburnv@sohu.com,Basic Vegetables Roots,Delhi," ? 8,907.00 "," ? 574,502.00 "," ? 55,612.00 ",Offline,COD
33,4/25/2024,Avery,apunchardw@skyrock.com,Herbs & Others Premium Fruits & Vegetables,Banglore," ? 9,213.00 "," ? 623,336.00 "," ? 97,471.00 ",Offline,COD
34,2/7/2024,Cornie,cmelledyx@mayoclinic.com,Milk & Milk Products Cheese,Rajkot," ? 7,094.00 "," ? 235,708.00 "," ? 42,087.00 ",Offline,Card
35,2/21/2024,Tillie,tshimmingsy@simplemachines.org,Pasta & Vermicelli,," ? 8,155.00 "," ? 605,649.00 "," ? 45,984.00 ",Offline,paytm
36,2/28/2024,Teriann,tbabbsz@tuttocitta.it,Noodles,Amravati," ? 8,520.00 "," ? 111,128.00 "," ? 33,223.00 ",Online,paytm
37,2/13/2024,Millard,mhartwell10@cnbc.com,Chocolates & Candies,Amravati," ? 8,637.00 "," ? 447,100.00 "," ? 96,657.00 ",Online,G-pay
38,5/27/2024,Wayland,wnewnham11@photobucket.com,Paneer & Tofu Batter & Chutney,jaipur," ? 5,870.00 "," ? 785,680.00 "," ? 49,714.00 ",Offline,G-pay
39,10/18/2024,Magdaia,mdelmage12@meetup.com,Fresh Fruits,Mumbai," ? 6,843.00 "," ? 866,320.00 "," ? 24,518.00 ",Offline,G-pay
40,6/11/2024,Glenine,gorpen13@eepurl.com,Noodles,Mumbai," ? 5,189.00 "," ? 710,029.00 "," ? 22,188.00 ",Offline,COD
41,1/1/2024,Evelyn,ewellwood14@goodreads.com,Chocolates & Candies,Ahemdabad," ? 9,760.00 "," ? 926,125.00 "," ? 44,742.00 ",Offline,paytm
42,8/19/2024,Leesa,lcasse15@newsvine.com,Noodles,," ? 7,090.00 "," ? 852,482.00 "," ? 97,849.00 ",Offline,paytm
43,12/10/2023,Brigitta,bdutnell16@ask.com,Paneer & Tofu Batter & Chutney,," ? 7,086.00 "," ? 349,894.00 "," ? 83,565.00 ",Offline,paytm
44,4/5/2024,Rhiamon,ralcorn17@baidu.com,Biscuits,Amravati," ? 9,280.00 "," ? 639,918.00 "," ? 44,430.00 ",Offline,paytm
45,1/23/2024,Milo,mlamble18@unicef.org,Noodles,Banglore," ? 8,574.00 "," ? 579,665.00 "," ? 45,710.00 ",Online,G-pay
46,2/11/2024,Rozella,rgierek19@chronoengine.com,Chips & Namkeens,Amravati," ? 9,428.00 "," ? 827,621.00 "," ? 38,989.00 ",Offline,COD
47,10/27/2024,Renard,rdullingham1a@ustream.tv,Chips & Namkeens,Mumbai," ? 9,066.00 "," ? 237,749.00 "," ? 93,554.00 ",Online,Card
